,Unnamed: 0,Unnamed: 0.1,report_id,date_time,police_beat,address_number_primary,address_pd_primary,address_road_primary,address_sfx_primary,address_pd_intersecting,address_name_intersecting,address_sfx_intersecting,violation_section,violation_type,charge_desc,injured,killed,hit_run_lvl,lat,lng
343,343,343,171494,2017-02-17 22:45:00,313,4200, ,KEARNY MESA,ROAD, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,MISDEMEANOR,32.8189235,-117.1499655
344,344,344,171407,2017-02-17 23:20:00,825,4800, ,FAIRMOUNT,AVENUE, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,,32.7647008,-117.0969862
345,345,345,171576,2017-02-17 23:30:00,438,2700, ,BEATRICE,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.6736637,-117.0510655
346,346,346,171438,2017-02-17 23:37:00,242,9300, ,GALVIN,AVENUE, , , ,21651B,VC,DRIVE THE WRONG WAY ON A DIVIDED HIGHWAY,0,0,MISDEMEANOR,32.9205708,-117.12500159999998
347,347,347,171549,2017-02-17 23:47:00,523,400, ,ISLAND,AVENUE, , , ,21950A,VC,YIELD RIGHT OF WAY TO PEDESTRIANS,1,0,,32.71047539999999,-117.1610291
348,348,348,171372,2017-02-18 01:00:00,813,3400, ,MYRTLE,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.7421252,-117.1438756
349,349,349,171541,2017-02-18 01:20:00,521,1100, ,MARKET,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7116675,-117.1544934
350,350,350,171460,2017-02-18 01:50:00,531,2100, ,PERSHING,DRIVE, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,,32.72767350000001,-117.1418871
351,351,351,171380,2017-02-18 03:00:00,512,1900, ,KEARNY,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.702348,-117.1431829
352,352,352,171402,2017-02-18 03:23:00,723,1300, ,PETERLYNN,DRIVE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,,32.5730519,-117.0463832
353,353,353,171375,2017-02-18 04:00:00,813,3400, ,THORN,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.7398527,-117.12020359999998
354,354,354,171413,2017-02-18 06:27:00,123,2400, ,INGRAHAM,STREET, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,,32.7634644,-117.2322368
