,report_id,date_time,police_beat,address_number_primary,address_pd_primary,address_road_primary,address_sfx_primary,address_pd_intersecting,address_name_intersecting,address_sfx_intersecting,violation_section,violation_type,charge_desc,injured,killed,hit_run_lvl,lat,lng
1213,186270,2018-08-15 07:45:00,113,4100, ,JUTLAND,DRIVE, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,,32.8238044,-117.2285996
1214,186238,2018-08-15 07:56:00,937,17200, ,CAM DEL SUR, , , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,33.0127144,-117.1469526
1215,186275,2018-08-15 09:10:00,243,7300, ,TRADE,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,32.8890596,-117.1637422
1216,186334,2018-08-15 11:45:00,621,2400, ,GENESEE,AVENUE, , , ,21703,VC,FOLLOWING TOO CLOSELY,0,0,MISDEMEANOR,32.7916934,-117.1588885
1217,186393,2018-08-15 11:45:00,931,10700, ,CAM SANTA FE, , , , ,21461A,VC,FAIL TO OBEY TRAFFIC CONTROL DEVICE,2,0,,33.0330208,-117.1237446
1218,187628,2018-08-15 12:00:00,621,0, ,COMSTOCK,STREET, ,LANGMUIR,STREET,21801A,VC,LEFT TURN YIELD UNTIL SAFE OR U-TURN,1,0,,32.7900491,-117.1751345
1219,186363,2018-08-15 13:34:00,523,600, ,6TH,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,32.7115391,-117.159216
1220,186306,2018-08-15 14:54:00,234,15600, ,BERNARDO CENTER,DRIVE, , , ,20002(A),VC,HIT AND RUN,0,0,MISDEMEANOR,33.0072328,-117.0965475
1221,186300,2018-08-15 17:00:00,115,4300, ,EASTGATE,MALL, , , ,21453A,VC,RED OR STOPVEHICLES STOP AT LIMIT LINE,2,0,,32.8781719,-117.2118152
1222,186294,2018-08-15 18:00:00,321,0, ,RANCHO MISSION,ROAD, ,WARD,ROAD,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,,32.7855171,-117.1104024
1223,186281,2018-08-15 18:33:00,628,1100,W,UPAS,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.7411481,-117.1533466
1224,186268,2018-08-15 22:00:00,115,4800, ,NOBEL,DRIVE, , , ,21453A,VC,RED OR STOPVEHICLES STOP AT LIMIT LINE,2,0,,32.8654659,-117.2085374
1225,186413,2018-08-16 00:01:00,825,4300, ,41ST,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.7552758,-117.1071909
1226,186327,2018-08-16 00:01:00,314,3000, ,CHILDRENS,WAY, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7980594,-117.1507998
1227,186661,2018-08-16 00:01:00,835,4300, ,HOME,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7260614,-117.1029693
1228,186279,2018-08-16 01:45:00,124,600, ,RUSHVILLE,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.8349655,-117.2760487
1229,186417,2018-08-16 02:30:00,813,4900, ,UVADA,PLACE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.7657938,-117.1340688
1230,186440,2018-08-16 06:31:00,431,1700, ,KELTON,ROAD, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,32.7240792,-117.0766088
1231,186331,2018-08-16 08:00:00,321,6100, ,FAIRMOUNT,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7850318,-117.101517
1232,18200027,2018-08-16 11:49:00,813,2300, ,UNIVERSITY,AVENUE, , , ,21801A,VC,RIGHT-OF-WAY:MAKING LEFT OR U-TURN (I),2,0,,32.7484412,-117.1400528
1233,186598,2018-08-16 12:00:00,622,1200, ,GOSHEN,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7676801,-117.1873777
1234,187564,2018-08-16 12:30:00,622,6000, ,FRIARS,ROAD, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,0,1,,32.7665443,-117.1854573
1235,186307,2018-08-16 13:24:00,243,9200, ,MIRAMAR,ROAD, , , ,22349,VC,DRIVE OVER MAXIMUM SPEED LIMIT,0,0,MISDEMEANOR,32.8944339,-117.1287007
1236,186290,2018-08-16 13:35:00,512,400,S,28TH,STREET, , , ,21804,VC,ENTERING HWY FROM PRIVATE ROAD OR DRIVEWAY,1,0,MISDEMEANOR,32.7096758,-117.1340883
1237,186328,2018-08-16 14:00:00,627,3900, ,5TH,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7485501,-117.1608955
1238,186422,2018-08-16 14:05:00,935,15700, ,SAN ANDRES,DRIVE, , , ,21651A,VC,DIVIDED HIGHWAYS DRIVING TO LEFT OF DIVIDING SECTION OR U-TURN,0,0,MISDEMEANOR,32.9805098,-117.2481841
1239,186509,2018-08-16 14:40:00,445,600, ,EUCLID,AVENUE, , , ,21703,VC,FOLLOWING TOO CLOSELY,0,0,MISDEMEANOR,32.7117701,-117.0854629
1240,187822,2018-08-16 14:55:00,821,0, ,EL CAJON,BOULEVARD, ,MONTEZUMA,ROAD,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7574564,-117.0825429
1241,186389,2018-08-16 16:00:00,121,3400, ,OCEAN FRONT,WALK, , , ,21651B,VC,DRIVE THE WRONG WAY ON A DIVIDED HIGHWAY,1,0,,32.7762282,-117.253166
1242,186418,2018-08-16 16:15:00,824,4500, ,WINONA,AVENUE, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,MISDEMEANOR,32.7590239,-117.0878849
1243,186837,2018-08-16 16:30:00,234,15800, ,BERNARDO CENTER,DRIVE, , , ,20002(A),VC,HIT AND RUN,0,0,MISDEMEANOR,33.0052287,-117.0921782
1244,186459,2018-08-16 17:00:00,321,10300, ,FRIARS,ROAD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7910835,-117.1014638
