,seg_id,oci,street,street_from,street_to,seg_length_ft,seg_width_ft,func_class,pvm_class,area_sq_ft,oci_desc,oci_wt,start_lat,start_long,end_lat,end_long
14191,SS-013468,65.316,HIGH BLUFF DR,EL CAM REAL,DEL MAR HEIGHTS RD,3192.7982,80.0,Major,AC Improved,255423.85600000003,Fair,16683264.578496,32.9487949,-117.2401914,32.9517395,-117.2394244
14192,SS-013469,73.406,HIGH BLUFF DR,CARMEL VIEW RD,EL CAM REAL,665.0395,74.0,Major,AC Improved,49212.922999999995,Good,3612523.8257379998,32.943077,-117.237488,32.9487949,-117.2401914
14195,SS-013472,61.99,HIGH KNOLL RD,FRANKEL WY,COMLY ST,852.0218,36.0,Residential,AC Improved,30672.7848,Fair,1901405.9297520001,32.7970313,-117.1779673,32.7966161,-117.175869
14198,SS-013475,63.88399999999999,HIGH PARK LN,RIDLEY RD,GRAIN LN,1512.4254,36.0,Residential,AC Improved,54447.3144,Fair,3478312.2331295996,32.957615,-117.1204537,32.9593899,-117.1168993
14199,SS-013476,59.144,HIGH WINDS WY,LAZY CLOUDS PT,TOWN VIEW LN,229.5415,36.0,Residential,AC Improved,8263.494,Fair,488736.08913599997,32.8094246,-117.0611461,32.8096187,-117.061856
14200,SS-013477,64.682,HIGH WINDS WY,RIDGE ROUTE RD,LAZY CLOUDS PT,145.9734,36.0,Residential,AC Improved,5255.0424,Fair,339906.6525168,32.8093544,-117.0606346,32.8094246,-117.0611461
14202,SS-013479,76.44,HIGHLAND AV,MONROE AV,44TH ST,901.3984,30.0,Residential,AC Improved,27041.952,Good,2067086.81088,32.7590715,-117.0985755,32.7374929,-117.0999713
14203,SS-013480,15.8,HIGHLAND AV,EL CAJON BL,MONROE AV,1440.2917,47.0,Collector,AC Improved,67693.7099,Poor,1069560.61642,32.7550967,-117.0992123,32.7590715,-117.0985755
14204,SS-013481,78.986,HIGHLAND AV,ORANGE AV,EL CAJON BL,734.1153,41.0,Residential,AC Improved,30098.7273,Good,2377378.0745177995,32.7531623,-117.0986888,32.7550967,-117.0992123
14205,SS-013482,78.816,HIGHLAND AV,POLK AV,ORANGE AV,632.0954,41.0,Residential,AC Improved,25915.9114,Good,2042588.4729023997,32.7514146,-117.0987257,32.7531623,-117.0986888
14206,SS-013483,78.98,HIGHLAND AV,UNIVERSITY AV,POLK AV,664.1087,41.0,Residential,AC Improved,27228.4567,Good,2150503.510166,32.7496145,-117.0987503,32.7514146,-117.0987257
14207,SS-013484,53.593999999999994,HIGHLAND AV,WIGHTMAN ST,UNIVERSITY AV,679.1244,41.0,Residential,AC Improved,27844.1004,Fair,1492276.7168376,32.7478239,-117.0987696,32.7496145,-117.0987503
14208,SS-013485,82.44200000000001,HIGHLAND AV,DWIGHT ST,LANDIS ST,674.0,41.0,Residential,AC Improved,27634.0,Good,2278202.228,32.7439981,-117.0988003,32.7458639,-117.0987762
14209,SS-013486,72.32,HIGHLAND AV,MYRTLE AV,DWIGHT ST,682.0,41.0,Residential,AC Improved,27962.0,Good,2022211.84,32.7421314,-117.0988268,32.7439981,-117.0988003
14210,SS-013488,24.04,HIGHLAND AV,MAPLE ST,OLIVE ST,674.0185,36.0,Residential,AC Improved,24264.666,Poor,583322.5706399999,32.7333188,-117.0985923,32.7351113,-117.0985925
14214,SS-013494,84.18799999999999,HIGHLAND RANCH RD,WORLD TRADE DR,CARMEL MTN RD,697.2819,78.0,Residential,AC Improved,54387.9882,Good,4578815.950581599,32.9822779,-117.0740944,32.983008,-117.0760779
14215,SS-013495,86.336,HIGHLAND RANCH RD,EASTBOURNE RD,WORLD TRADE DR,636.3348,78.0,Residential,AC Improved,49634.1144,Good,4285210.9008384,32.9813306,-117.072304,32.9822779,-117.0740944
14216,SS-013497,85.196,HIGHLAND RANCH RD,CARMEL RIDGE RD,EASTBOURNE RD,1185.3971,78.0,Residential,AC Improved,92460.9738,Good,7877305.1238648,32.9782836,-117.0709689,32.9813306,-117.072304
14217,SS-013498,81.2,HIGHLAND RANCH RD,VIA SAN LORENO,CARMEL RIDGE RD,894.2834,78.0,Residential,AC Improved,69754.1052,Good,5664033.34224,32.9762456,-117.0694564,32.9782836,-117.0709689
14218,SS-013499,71.312,HIGHLAND RANCH RD,ESPRIT AV,VIA SAN LORENO,1020.5389,78.0,Residential,AC Improved,79602.0342,Good,5676580.2628704,32.9736149,-117.0680824,32.9762456,-117.0694564
14219,SS-013500,58.172,HIGHLAND VALLEY RD,SYCAMORE CREEK RD,CITY BOUNDARY,7793.7841,24.0,Prime,AC Improved,187050.8184,Fair,10881120.2079648,33.0512355,-117.045754,33.0442775,-116.974082
14220,SS-013501,52.431999999999995,HIGHLAND VALLEY RD,PASEO MONTE BATALLA,SYCAMORE CREEK RD,6838.5757,24.0,Prime,AC Improved,164125.8168,Fair,8605444.8264576,33.0528823,-117.0671952,33.0512355,-117.045754
