,seg_id,oci,street,street_from,street_to,seg_length_ft,seg_width_ft,func_class,pvm_class,area_sq_ft,oci_desc,oci_wt,start_lat,start_long,end_lat,end_long
26587,SS-027371,25.67,VALLECITOS,PASEO DEL OCASO,LA JOLLA SHORES DR,316.1238,31.0,Residential,AC Improved,9799.8378,Poor,251561.83632600002,32.8554266,-117.25469,32.8555649,-117.2536813
26589,SS-027373,42.733999999999995,VALLECITOS,LA JOLLA SHORES DR,CALLE DEL CIELO,1073.1753,36.0,Residential,AC Improved,38634.3108,Fair,1650998.6377271998,32.8555649,-117.2536813,32.8552986,-117.2502263
26590,SS-027374,22.47,VALLECITOS,EL PASEO GRANDE,PASEO DEL OCASO,296.4995,31.0,Residential,AC Improved,9191.4845,Poor,206532.65671500002,32.8550699,-117.255567,32.8554266,-117.25469
26591,SS-027375,85.0,VALLECITOS,CAM DEL ORO,AVNDA DE LA RIBERA,279.0169,30.0,Residential,PCC Jointed Concrete,8370.507,Good,711493.095,32.8552754,-117.2573395,32.854958,-117.2564644
26592,SS-027376,97.02,VALLECITOS,AVNDA DE LA RIBERA,EL PASEO GRANDE,273.9849,32.0,Residential,PCC Jointed Concrete,8767.5168,Good,850624.479936,32.854958,-117.2564644,32.8550699,-117.255567
26594,SS-027378,63.38399999999999,VALLEJO AV,VALLEJO CT,KLEEFELD AV,486.7536,36.0,Residential,AC Improved,17523.1296,Fair,1110686.0465664,32.827503,-117.198624,32.828411,-117.197609
26595,SS-027379,64.376,VALLEJO AV,MIAMI WY,VALLEJO CT,180.1724,36.0,Residential,AC Improved,6486.2064,Fair,417556.0232064,32.8271607,-117.198893,32.827503,-117.198624
26598,SS-027382,68.118,VALLEY CENTRE DR,EL CAM REAL,CARMEL VISTA RD,779.8072,78.0,Major,AC Improved,60824.9616,Fair,4143274.7342687994,32.9361095,-117.2379902,32.9374368,-117.2360808
26600,SS-027384,79.21600000000001,VALLEY CENTRE DR,CARMEL VIEW RD,CARMEL CREEK RD,1169.835,78.0,Major,AC Improved,91247.13,Good,7228232.65008,32.9376805,-117.2333516,32.9381165,-117.2297033
26601,SS-027385,80.46600000000001,VALLEY CENTRE DR,CARMEL VISTA RD,CARMEL VIEW RD,851.0264,78.0,Major,AC Improved,66380.0592,Good,5341337.8435872,32.9374368,-117.2360808,32.9376805,-117.2333516
26602,SS-027386,64.51,VALLEY PL,S 28TH ST,S 29TH ST,649.0624,20.0,Residential,PCC Jointed Concrete,12981.248,Fair,837420.30848,32.7048494,-117.133873,32.7048738,-117.1317801
26603,SS-027387,73.07,VALLEY RD,CALLE ABAJO,REO DR,1279.4924,20.0,Collector,AC Improved,25589.847999999998,Good,1869850.19336,32.6626761,-117.0655006,32.6638276,-117.0616985
26606,SS-027390,23.0,VALNER WY,CALLE TREPADORA,VALNER CT,378.6984,36.0,Residential,AC Improved,13633.1424,Poor,313562.2752,32.679783,-117.058594,32.68063,-117.057953
26608,SS-027392,82.76,VAN BUREN AV,MARYLAND ST,CLEVELAND AV,380.0028,52.0,Residential,AC Improved,19760.1456,Good,1635349.649856,32.7553348,-117.1512478,32.75534,-117.1500089
26609,SS-027393,6.09,VAN BUREN AV,CLEVELAND AV,CAMPUS AV,385.0025,52.0,Residential,AC Improved,20020.13,Poor,121922.5917,32.75534,-117.1500089,32.7553596,-117.1487727
26610,SS-027394,67.268,VAN DYKE AV,ADAMS AV,ALDINE DR,359.1583,30.0,Residential,AC Improved,10774.749,Fair,724795.8157319999,32.7632177,-117.1023619,32.7639725,-117.1022518
26611,SS-027395,88.204,VAN DYKE AV,EL CAJON BL,MEADE AV,706.1387,40.0,Residential,AC Improved,28245.548,Good,2491370.315792,32.755074,-117.1029367,32.7570964,-117.1029405
26612,SS-027396,88.296,VAN DYKE AV,ORANGE AV,EL CAJON BL,706.1387,40.0,Residential,AC Improved,28245.548,Good,2493968.906208,32.7532009,-117.1032043,32.755074,-117.1029367
26613,SS-027397,79.00399999999999,VAN DYKE AV,POLK AV,ORANGE AV,632.0,52.0,Residential,AC Improved,32864.0,Good,2596387.456,32.7514573,-117.1032332,32.7532009,-117.1032043
26614,SS-027398,77.986,VAN DYKE AV,UNIVERSITY AV,POLK AV,663.0,52.0,Residential,AC Improved,34476.0,Good,2688645.336,32.7496458,-117.1032374,32.7514573,-117.1032332
26615,SS-027399,88.126,VAN DYKE AV,WIGHTMAN ST,UNIVERSITY AV,679.0,52.0,Residential,AC Improved,35308.0,Good,3111552.808,32.747773,-117.1032472,32.7496458,-117.1032374
26616,SS-027400,84.27799999999999,VAN DYKE AV,DWIGHT ST,LANDIS ST,678.0,52.0,Collector,AC Improved,35256.0,Good,2971305.168,32.7440365,-117.1032982,32.7459051,-117.1032752
26617,SS-027401,88.77799999999999,VAN DYKE AV,MYRTLE AV,DWIGHT ST,682.0,52.0,Collector,AC Improved,35464.0,Good,3148422.992,32.7421632,-117.1033184,32.7440365,-117.1032982
26619,SS-027404,85.764,VAN DYKE AV,LANDIS ST,WIGHTMAN ST,682.0,52.0,Residential,AC Improved,35464.0,Good,3041534.4960000003,32.7459051,-117.1032752,32.747773,-117.1032472
26623,SS-027408,73.884,VAN NUYS ST,EVERTS ST,EMERGENCY ACCESS,520.491,40.0,Residential,AC Improved,20819.64,Good,1538238.28176,32.812798,-117.252602,32.8133864,-117.2511594
