"seg_id","oci","street","street_from","street_to","seg_length_ft","seg_width_ft","func_class","pvm_class","area_sq_ft","oci_desc","oci_wt"
"SA-000003",65.14,"ALLEY","","",772.7258,30,"Alley","PCC Jointed Concrete",23181.774,"Fair",1510060.75836
"SA-000004",67.45,"ALLEY","","",196.0025,30,"Alley","PCC Jointed Concrete",5880.075,"Fair",396611.05875
"SA-000005",70.88,"ALLEY","","",395.0049,30,"Alley","PCC Jointed Concrete",11850.147,"Good",839938.41936
"SA-000006",84,"ALLEY","","",192.0025,30,"Alley","PCC Jointed Concrete",5760.075,"Good",483846.3
"SA-000008",79.24,"ALLEY","","",251.754,30,"Alley","PCC Jointed Concrete",7552.62,"Good",598469.6088
"SA-000011",86.5,"ALLEY","","",222.0267,30,"Alley","AC Improved",6660.801,"Good",576159.2865
"SA-000012",44.62,"ALLEY","","",687.3638,30,"Alley","PCC Jointed Concrete",20620.914,"Fair",920105.18268
"SA-000025",58.34,"ALLEY","","",569.2424,30,"Alley","PCC Jointed Concrete",17077.272,"Fair",996288.04848
"SA-000028",81.44,"ALLEY","","",205.6429,30,"Alley","PCC Jointed Concrete",6169.287,"Good",502426.73328
"SA-000029",75.72,"ALLEY","","",308.7557,30,"Alley","PCC Jointed Concrete",9262.671,"Good",701369.44812
"SA-000032",64.6,"ALLEY","","",570.8481,30,"Alley","PCC Jointed Concrete",17125.443,"Fair",1106303.6178
"SA-000034",57.71,"ALLEY","","",481.4721,30,"Alley","PCC Jointed Concrete",14444.163,"Fair",833572.64673
"SA-000035",54.5,"ALLEY","","",339.4048,30,"Alley","PCC Jointed Concrete",10182.144,"Fair",554926.848
"SA-000036",70.38,"ALLEY","","",254.2381,30,"Alley","PCC Jointed Concrete",7627.143,"Good",536798.32434
"SA-000038",6.53,"ALLEY","","",337.0133,30,"Alley","AC Improved",10110.399,"Poor",66020.90547
"SA-000039",52.04,"ALLEY","","",818.9255,30,"Alley","PCC Jointed Concrete",24567.765,"Fair",1278506.4906
"SA-000040",61.99,"ALLEY","","",613.4309,30,"Alley","PCC Jointed Concrete",18402.927,"Fair",1140797.44473
"SA-000042",65.19,"ALLEY","","",188.4515,30,"Alley","PCC Jointed Concrete",5653.545,"Fair",368554.59855
"SA-000043",39.58,"ALLEY","","",856.1892,30,"Alley","AC Improved",25685.676,"Poor",1016639.05608
"SA-000044",79.55,"ALLEY","","",436.6064,30,"Alley","PCC Jointed Concrete",13098.192,"Good",1041961.1736
"SA-000045",98.67,"ALLEY","","",253.464,30,"Alley","PCC Jointed Concrete",7603.92,"Good",750278.7864
"SA-000046",71.788,"ALLEY","","",887.4527,30,"Alley","PCC Jointed Concrete",26623.581,"Good",1911253.632828
"SA-000047",68.41,"ALLEY","","",303.3283,30,"Alley","PCC Jointed Concrete",9099.849,"Fair",622520.67009
"SA-000048",54.66,"ALLEY","","",154.8978,30,"Alley","PCC Jointed Concrete",4646.934,"Fair",254001.41244
"SA-000049",97,"ALLEY","","",333.345,30,"Alley","PCC Jointed Concrete",10000.35,"Good",970033.95
"SA-000050",78,"ALLEY","","",260.0479,30,"Alley","PCC Jointed Concrete",7801.437,"Good",608512.086
"SA-000051",87.5,"ALLEY","","",153.6586,30,"Alley","PCC Jointed Concrete",4609.758,"Good",403353.825
"SA-000054",80.44,"ALLEY","","",344.8697,30,"Alley","PCC Jointed Concrete",10346.091,"Good",832239.56004
"SA-000055",68.65,"ALLEY","","",661,30,"Alley","PCC Jointed Concrete",19830,"Fair",1361329.5
"SA-000056",81.32,"ALLEY","","",658.003,30,"Alley","PCC Jointed Concrete",19740.09,"Good",1605264.1188
"SA-000057",73.77,"ALLEY","","",315.009,30,"Alley","PCC Jointed Concrete",9450.27,"Good",697146.4179
"SA-000058",73.72,"ALLEY","","",460.0083,30,"Alley","PCC Jointed Concrete",13800.249,"Good",1017354.35628
"SA-000059",59,"ALLEY","","",282.1656,30,"Alley","PCC Jointed Concrete",8464.968,"Fair",499433.112
"SA-000060",56.36,"ALLEY","","",299.0324,30,"Alley","PCC Jointed Concrete",8970.972,"Fair",505603.98192
"SA-000061",84,"ALLEY","","",224.4616,30,"Alley","PCC Jointed Concrete",6733.848,"Good",565643.232
"SA-000062",30.95,"ALLEY","","",225.1632,30,"Alley","PCC Jointed Concrete",6754.896,"Poor",209064.0312
"SA-000071",90.37,"ALLEY","","",151.9357,30,"Alley","PCC Jointed Concrete",4558.071,"Good",411912.87627
"SA-000072",87.88,"ALLEY","","",611.9728,30,"Alley","PCC Jointed Concrete",18359.184,"Good",1613405.08992
"SA-000073",60.25,"ALLEY","","",257.0488,30,"Alley","PCC Jointed Concrete",7711.464,"Fair",464615.706
"SA-000074",58.35,"ALLEY","","",387.0038,30,"Alley","PCC Jointed Concrete",11610.114,"Fair",677450.1519
"SA-000075",55.99,"ALLEY","","",439.0047,30,"Alley","PCC Jointed Concrete",13170.141,"Fair",737396.19459
