,seg_id,oci,street,street_from,street_to,seg_length_ft,seg_width_ft,func_class,pvm_class,area_sq_ft,oci_desc,oci_wt,start_lat,start_long,end_lat,end_long
2056,SS-000002,84.978,1ST AV,MONTECITO WY,ARBOR DR,352.0,40.0,Collector,AC Improved,14080.0,Good,1196490.24,32.7528342,-117.1641088,32.7546799,-117.1657835
2057,SS-000003,77.616,1ST AV,LEWIS ST,MONTECITO WY,357.0,40.0,Collector,AC Improved,14280.0,Good,1108356.48,32.7467767,-117.1639326,32.7528342,-117.1641088
2058,SS-000004,78.77600000000001,1ST AV,W WASHINGTON ST,LEWIS ST,718.0,42.0,Collector,AC Improved,30156.0,Good,2375569.056,32.750091,-117.163512,32.7467767,-117.1639326
2059,SS-000005,62.01,1ST AV,UNIVERSITY AV,W WASHINGTON ST,607.0,42.0,Collector,AC Improved,25494.0,Fair,1580882.94,32.7196476,-117.1637294,32.750091,-117.163512
2060,SS-000006,50.856,1ST AV,ROBINSON AV,UNIVERSITY AV,475.0,42.0,Collector,AC Improved,19950.0,Fair,1014577.2,32.7467767,-117.1639326,32.7196476,-117.1637294
2061,SS-000007,87.95200000000001,1ST AV,PENNSYLVANIA AV,ROBINSON AV,660.0007,42.0,Collector,AC Improved,27720.0294,Good,2438032.0257888,32.7451259,-117.1638978,32.7467767,-117.1639326
2062,SS-000008,81.93799999999999,1ST AV,BROOKES AV,PENNSYLVANIA AV,659.0189999999999,42.0,Collector,AC Improved,27678.798,Good,2267945.3505240004,32.7434478,-117.16382,32.7451259,-117.1638978
2063,SS-000009,48.836000000000006,1ST AV,W WALNUT AV,BROOKES AV,676.2468,42.0,Collector,AC Improved,28402.3656,Fair,1387057.9264416,32.7411989,-117.1640797,32.7434478,-117.16382
2064,SS-000010,66.306,1ST AV,UPAS ST,W WALNUT AV,253.0,52.0,Collector,AC Improved,13156.0,Fair,872321.7359999999,32.7407892,-117.1640177,32.7411989,-117.1640797
2065,SS-000011,67.27199999999999,1ST AV,THORN ST,UPAS ST,378.0012,52.0,Collector,AC Improved,19656.0624,Fair,1322302.6297728,32.7395581,-117.1640691,32.7407892,-117.1640177
2066,SS-000012,56.852,1ST AV,SPRUCE ST,THORN ST,381.0015,52.0,Collector,AC Improved,19812.078,Fair,1126356.258456,32.7386881,-117.1639958,32.7395581,-117.1640691
2067,SS-000013,68.688,1ST AV,REDWOOD ST,SPRUCE ST,380.9999,52.0,Collector,AC Improved,19811.9948,Fair,1360846.2988224,32.7376487,-117.163992,32.7386881,-117.1639958
2068,SS-000014,67.366,1ST AV,QUINCE ST,REDWOOD ST,381.9999,52.0,Collector,AC Improved,19863.9948,Fair,1338157.8736968,32.7366026,-117.1639712,32.7376487,-117.163992
2069,SS-000015,63.842,1ST AV,W PALM ST,QUINCE ST,381.0002,52.0,Collector,AC Improved,19812.0104,Fair,1264838.3679568002,32.7356198,-117.1639687,32.7366026,-117.1639712
2070,SS-000016,69.56,1ST AV,NUTMEG ST,W PALM ST,758.0104,40.0,Collector,AC Improved,30320.416,Fair,2109088.13696,32.7332204,-117.1640197,32.7356198,-117.1639687
2071,SS-000018,73.388,1ST AV,MAPLE ST,NUTMEG ST,378.0055,52.0,Collector,AC Improved,19656.286,Good,1442535.516968,32.7326797,-117.1614247,32.7332204,-117.1640197
2072,SS-000019,36.772,1ST AV,LAUREL ST,MAPLE ST,383.0012,52.0,Collector,AC Improved,19916.0624,Poor,732353.4465728,32.7313787,-117.1639415,32.7326797,-117.1614247
2073,SS-000020,66.604,1ST AV,KALMIA ST,LAUREL ST,377.0012,52.0,Collector,AC Improved,19604.0624,Fair,1305708.9720896003,32.7303316,-117.16142,32.7313787,-117.1639415
2074,SS-000021,74.436,1ST AV,JUNIPER ST,KALMIA ST,383.0015,52.0,Collector,AC Improved,19916.078,Good,1482473.182008,32.729436,-117.1639837,32.7303316,-117.16142
2075,SS-000022,64.404,1ST AV,IVY ST,JUNIPER ST,379.0012,52.0,Collector,AC Improved,19708.0624,Fair,1269278.0508096002,32.728448,-117.1637751,32.729436,-117.1639837
2076,SS-000023,67.666,1ST AV,HAWTHORN ST,IVY ST,380.0012,52.0,Collector,AC Improved,19760.0624,Fair,1337084.3823584,32.7271898,-117.1639005,32.728448,-117.1637751
2077,SS-000024,64.57,1ST AV,GRAPE ST,HAWTHORN ST,384.0015,52.0,Collector,AC Improved,19968.078,Fair,1289338.79646,32.7259582,-117.1637395,32.7271898,-117.1639005
