,seg_id,oci,street,street_from,street_to,seg_length_ft,seg_width_ft,func_class,pvm_class,area_sq_ft,oci_desc,oci_wt,start_lat,start_long,end_lat,end_long
15391,SS-014810,90.76,K ST,06TH AV,07TH AV,283.0019,52.0,Collector,AC Improved,14716.0988,Good,1335633.1270879998,32.7078159,-117.15876,32.707584,-117.1590096
15392,SS-014811,98.0,K ST,05TH AV,06TH AV,275.9998,52.0,Collector,AC Improved,14351.9896,Good,1406494.9808,32.7085433,-117.1596457,32.7078159,-117.15876
15393,SS-014812,32.38,K ST,12TH AV,13TH ST,287.0015,52.0,Collector,AC Improved,14924.078000000001,Poor,483241.64563999994,32.7083341,-117.1544996,32.7087559,-117.1529936
15394,SS-014816,92.016,K ST,10TH AV,11TH AV,284.509,52.0,Collector,AC Improved,14794.468,Good,1361327.767488,32.7083948,-117.1555638,32.7083977,-117.1546002
15395,SS-014817,82.104,K ST,13TH ST,14TH ST,279.0162,52.0,Collector,AC Improved,14508.8424,Good,1191233.9964096001,32.7087559,-117.1529936,32.7083836,-117.1519053
15398,SS-014820,70.18,K ST,15TH ST,16TH ST,277.0019,52.0,Residential,AC Improved,14404.0988,Good,1010879.653784,32.7097113,-117.1508458,32.7083732,-117.149448
15399,SS-014821,82.324,K ST,14TH ST,15TH ST,478.11,52.0,Residential,AC Improved,24861.72,Good,2046716.23728,32.7083836,-117.1519053,32.7097113,-117.1508458
15400,SS-014822,74.1,K ST,16TH ST,17TH ST,273.0071,52.0,Residential,AC Improved,14196.3692,Good,1051950.95772,32.7083732,-117.149448,32.7083812,-117.1485613
15401,SS-014823,39.824,K ST,26TH ST,27TH ST,659.0008,52.0,Residential,AC Improved,34268.0416,Poor,1364690.4886784,32.7084561,-117.1381363,32.7084609,-117.1359899
15402,SS-014824,42.1,K ST,28TH ST,HOITT ST,271.0075,52.0,Residential,AC Improved,14092.39,Fair,593289.619,32.7084842,-117.1338278,32.7084812,-117.1329523
15403,SS-014825,39.39,K ST,HOITT ST,29TH ST,269.9998,52.0,Residential,AC Improved,14039.9896,Poor,553035.190344,32.7084812,-117.1329523,32.708481,-117.1320822
15404,SS-014826,36.85,K ST,DODSON ST,30TH ST,285.0071,52.0,Residential,AC Improved,14820.3692,Poor,546130.60502,32.7087768,-117.1308413,32.7084926,-117.1302351
15405,SS-014827,31.76,K ST,24TH ST,25TH ST,675.0363,52.0,Residential,AC Improved,35101.8876,Poor,1114835.9501760001,32.7083994,-117.1424335,32.7084321,-117.1402235
15406,SS-014828,45.27,K ST,30TH ST,30TH ST,210.0094,52.0,Prime,AC Improved,10920.4888,Fair,494370.52797600004,32.7084926,-117.1302351,32.7084926,-117.1302351
15407,SS-014829,60.022,K ST,30TH ST,31ST ST,658.0206,52.0,Residential,AC Improved,34217.0712,Fair,2053777.0475663997,32.7084926,-117.1302351,32.7087768,-117.1308413
