,seg_id,oci,street,street_from,street_to,seg_length_ft,seg_width_ft,func_class,pvm_class,area_sq_ft,oci_desc,oci_wt,start_lat,start_long,end_lat,end_long
16601,SS-016163,83.54,LAUREL ST,54TH ST,BLACKTON DR,360.8404,40.0,Residential,AC Improved,14433.616000000002,Good,1205784.28064,32.7306535,-117.0797549,32.73094409999999,-117.0785958
16604,SS-016166,85.8,LAURELRIDGE RD,CIBOLA RD,SUMMIT RIDGE WY,267.1873,40.0,Residential,AC Improved,10687.492,Good,916986.8136,32.8085603,-117.0558857,32.8085802,-117.0567618
16605,SS-016167,80.796,LAURELRIDGE RD,LAURELRIDGE CT,HIGH COUNTRY CT,143.3877,36.0,Residential,AC Improved,5161.9572,Good,417065.4939312,32.8085496,-117.0574967,32.8083887,-117.0579118
16606,SS-016168,74.672,LAURELRIDGE RD,MTN TOP CT,RIDGE ROUTE RD,435.73,36.0,Residential,AC Improved,15686.28,Good,1171325.90016,32.8083027,-117.0593597,32.8084283,-117.0607585
16607,SS-016169,79.868,LAURELRIDGE RD,HIGH COUNTRY CT,CLEAR SKY TR,154.4929,36.0,Residential,AC Improved,5561.7444,Good,444205.4017392,32.8083887,-117.0579118,32.8083236,-117.058411
16608,SS-016170,66.134,LAURELRIDGE RD,CLEAR SKY TR,MTN TOP CT,294.8337,36.0,Residential,AC Improved,10614.0132,Fair,701947.1489688001,32.8083236,-117.058411,32.8083027,-117.0593597
16609,SS-016171,68.64399999999999,LAURELRIDGE RD,OFRIA AV,CIBOLA RD,1132.6693,40.0,Residential,AC Improved,45306.772000000004,Fair,3110038.057168,32.807306,-117.0526639,32.8085603,-117.0558857
16610,SS-016172,76.112,LAURELRIDGE RD,PARK RIDGE BL,OFRIA AV,981.6934,40.0,Residential,AC Improved,39267.736000000004,Good,2988745.922432,32.8056576,-117.0501494,32.807306,-117.0526639
16611,SS-016173,75.50399999999999,LAURELRIDGE RD,SUMMIT RIDGE WY,LAURELRIDGE CT,225.9428,40.0,Residential,AC Improved,9037.712,Good,682383.4068479999,32.8085802,-117.0567618,32.8085496,-117.0574967
16612,SS-016174,87.5,LAURENTIAN DR,MEDIATRICE LN,PVT RD,73.0,40.0,Residential,AC Improved,2920.0,Good,255500.0,32.9746675,-117.1257546,32.9747476,-117.1253428
16613,SS-016175,68.58,LAURENTIAN DR,MARIANOPOLIS WY,MEDIATRICE LN,208.0,56.0,Residential,AC Improved,11648.0,Fair,798819.84,32.974307,-117.1262644,32.9746675,-117.1257546
16614,SS-016176,72.13,LAURENTIAN DR,STARGAZE AV,MARIANOPOLIS WY,411.1815,56.0,Residential,AC Improved,23026.164,Good,1660877.2093200001,32.9734937,-117.1271596,32.974307,-117.1262644
16615,SS-016177,100.0,LAURENTIAN DR,MENNONITE PT,STARGAZE AV,251.2944,56.0,Residential,AC Improved,14072.4864,Good,1407248.64,32.9731574,-117.1278308,32.9734937,-117.1271596
16616,SS-016178,66.53,LAURENTIAN DR,LETHBRIDGE WY,MENNONITE PT,808.7273,36.0,Residential,AC Improved,29114.1828,Fair,1936966.581684,32.9728384,-117.1303583,32.9731574,-117.1278308
16618,SS-016180,56.611999999999995,LAURETTA ST,GOSHEN ST,HUENEME ST,509.5694,40.0,Residential,AC Improved,20382.776,Fair,1153909.714912,32.7683971,-117.1876038,32.7687157,-117.1860094
16619,SS-016181,92.0,LAURETTA ST,EUREKA ST,GOSHEN ST,446.2654,40.0,Residential,AC Improved,17850.616,Good,1642256.6719999998,32.768089,-117.189018,32.7683971,-117.1876038
16620,SS-016182,74.93,LAURETTA ST,COLUSA ST,EUREKA ST,501.0998,40.0,Residential,AC Improved,20043.992,Good,1501896.3205600001,32.7677301,-117.1905845,32.768089,-117.189018
16621,SS-016183,81.84,LAURETTA ST,BENICIA ST,COLUSA ST,463.7425,40.0,Residential,AC Improved,18549.7,Good,1518107.448,32.767403,-117.192047,32.7677301,-117.1905845
16622,SS-016184,74.92399999999999,LAURETTA ST,AZUSA ST,BENICIA ST,463.0259,40.0,Residential,AC Improved,18521.036,Good,1387670.101264,32.7670698,-117.1935023,32.767403,-117.192047
16623,SS-016185,86.2,LAURETTA ST,MOLLIE ST,AZUSA ST,460.1237,40.0,Residential,AC Improved,18404.948,Good,1586506.5176,32.7667329,-117.1949724,32.7670698,-117.1935023
16626,SS-016188,86.85,LAURINDA PL,RIDGE VIEW DR,JOCELYN ST,220.4134,30.0,Residential,AC Improved,6612.401999999999,Good,574287.1137,32.726206,-117.0985663,32.7268066,-117.0987257
16627,SS-016189,57.5,LAURISTON DR,SEWELL AV,ELROSE DR,611.2917,36.0,Local,AC Improved,22006.5012,Fair,1265373.8190000001,32.5757387,-117.0715789,32.5740764,-117.0715516
16629,SS-016191,29.42,LAUSANNE DR,JACMAR AV,CADMAN ST,266.5462,40.0,Residential,AC Improved,10661.848,Poor,313671.56815999997,32.7094137,-117.0406529,32.7101331,-117.0404778
16630,SS-016192,93.404,LAUSANNE DR,S LAUSANNE DR,GRIBBLE ST,250.3379,58.0,Residential,AC Improved,14519.5982,Good,1356188.5502728,32.7038607,-117.0403393,32.7046105,-117.0402903
16632,SS-016194,96.64,LAUSANNE DR,GRIBBLE ST,LE CONTE ST,306.4181,40.0,Residential,AC Improved,12256.723999999998,Good,1184489.80736,32.7046105,-117.0402903,32.7054498,-117.0402549
16633,SS-016195,69.35,LAW ST,LAMONT ST,ACADEMY ST,860.0863,40.0,Local,AC Improved,34403.452000000005,Fair,2385879.3962,32.806587,-117.237053,32.8072026,-117.2343531
16634,SS-016196,63.582,LAW ST,KENDALL ST,LAMONT ST,577.9635,40.0,Local,AC Improved,23118.54,Fair,1469923.0102799998,32.80619,-117.238869,32.806587,-117.237053
16635,SS-016197,67.458,LAW ST,JEWELL ST,KENDALL ST,582.5709,40.0,Local,AC Improved,23302.836,Fair,1571962.710888,32.805786,-117.240707,32.80619,-117.238869
16636,SS-016198,80.516,LAW ST,INGRAHAM ST,JEWELL ST,598.8206,40.0,Residential,AC Improved,23952.824,Good,1928585.577184,32.8053853,-117.2426055,32.805786,-117.240707
16637,SS-016199,60.42,LAW ST,HAINES ST,INGRAHAM ST,581.3578,40.0,Residential,AC Improved,23254.312,Fair,1405025.53104,32.8049792,-117.2444311,32.8053853,-117.2426055
16638,SS-016200,21.31,LAW ST,GRESHAM ST,HAINES ST,578.4481,40.0,Residential,AC Improved,23137.924,Poor,493069.16043999995,32.8045767,-117.2462542,32.8049792,-117.2444311
16639,SS-016201,48.79,LAW ST,FANUEL ST,GRESHAM ST,582.328,40.0,Residential,PCC Jointed Concrete,23293.12,Fair,1136471.3248,32.8041664,-117.248068,32.8045767,-117.2462542
16640,SS-016202,59.882,LAW ST,EVERTS ST,FANUEL ST,579.6622,40.0,Residential,PCC Jointed Concrete,23186.487999999998,Fair,1388453.274416,32.803761,-117.249901,32.8041664,-117.248068
16641,SS-016203,58.84,LAW ST,DAWES ST,EVERTS ST,576.5083,40.0,Local,AC Improved,23060.332000000002,Fair,1356869.9348799998,32.8033841,-117.2517575,32.803761,-117.249901
16642,SS-016204,67.516,LAW ST,CASS ST,DAWES ST,582.3283,40.0,Local,AC Improved,23293.132,Fair,1572659.100112,32.8029583,-117.2535421,32.8033841,-117.2517575
16643,SS-016205,57.62,LAW ST,BAYARD ST,CASS ST,576.2645,40.0,Residential,PCC Jointed Concrete,23050.58,Fair,1328174.4196,32.8025557,-117.255373,32.8029583,-117.2535421
16644,SS-016206,62.49,LAW ST,MISSION BL,BAYARD ST,582.328,40.0,Residential,PCC Jointed Concrete,23293.12,Fair,1455587.0688,32.8021553,-117.2572007,32.8025557,-117.255373
16645,SS-016207,43.49,LAW ST,DIXIE DR,MISSION BL,268.7324,40.0,Residential,PCC Jointed Concrete,10749.296,Fair,467486.88304,32.801971,-117.258049,32.8021553,-117.2572007
