,Unnamed: 0,seg_id,oci,street,street_from,street_to,seg_length_ft,seg_width_ft,func_class,pvm_class,area_sq_ft,oci_desc,oci_wt,start_lat,start_long,end_lat,end_long
214,9523,SS-008319,64.0,CRYSTAL DR,DIXIE DR,LORING ST,410.986,30.0,Residential,AC Improved,12329.58,Fair,789093.12,32.803674900000004,-117.2591337,32.804760200000004,-117.25894679999999
215,9524,SS-008321,56.19,CRYSTAL DR,OCEAN BL,DIXIE DR,327.2482,30.0,Residential,AC Improved,9817.446,Fair,551642.29074,32.8033063,-117.25983229999999,32.803674900000004,-117.2591337
216,9525,SS-008322,75.934,CRYSTAL LAKE AV,BLUE LAKE DR,TOPAZ LAKE AV,645.5555,36.0,Residential,AC Improved,23239.998,Good,1764706.008132,32.7920144,-117.0261507,32.7937576,-117.0258857
217,9527,SS-008324,93.312,CRYSTALAIRE DR,PASATIEMPO AV,CYPRESS POINT RD,832.4354,40.0,Residential,AC Improved,33297.416,Good,3107048.481792,32.7892042,-117.059673,32.7891032,-117.05700790000002
218,9528,SS-008325,76.404,CRYSTALAIRE DR,MADRA AV,RIDGEMOOR DR,317.1574,36.0,Residential,AC Improved,11417.6664,Good,872355.3836256,32.789052500000004,-117.0558675,32.7892628,-117.0548518
219,9529,SS-008326,84.57799999999997,CRYSTALAIRE DR,CYPRESS POINT RD,MADRA AV,357.4303,40.0,Residential,AC Improved,14297.212,Good,1209229.596536,32.7891032,-117.05700790000002,32.789052500000004,-117.0558675
220,9561,SS-008361,68.476,CTE LAMPARA,BOURGEOIS WY,MALER RD,863.2669,36.0,Residential,AC Improved,31077.6084,Fair,2128070.3127984,32.9763332,-117.1282332,32.9802991,-117.1283656
221,9575,SS-008375,72.648,CTE PLAYA BARCELONA,VILLARRICA WY,CAM PLAYA PORTOFINO,433.8446,36.0,Local,AC Improved,15618.4056,Good,1134645.9300288,32.838155,117.093503,32.837384,2.1734035
222,9580,SS-008380,94.068,CTE PLAYA CATALINA,CAM PLAYA CATALINA,VIA PLAYA LOS SANTOS,1136.6812,36.0,Residential,AC Improved,40920.5232,Good,3849311.7763776,32.8348657,-117.0801288,32.8345791,-117.0796107
223,9604,SS-008404,54.188,CTE SABIO,AVNDA ALCACHOFA,PASEO LUCIDO,352.0942,40.0,Residential,AC Improved,14083.768,Fair,763171.220384,33.000085399999996,-117.06720590000002,32.9999945,-117.0667744
224,9607,SS-008407,81.096,CTE SOBRADO,VIA ACOSTA,VIA SOBRADO,187.483,28.0,Residential,AC Improved,5249.524,Good,425715.398304,33.037329,-117.0523804,33.0378137,-117.05294599999999
225,9608,SS-008408,82.184,CTE SOBRADO,CTE POTOSI,VIA ACOSTA,234.3498,28.0,Residential,AC Improved,6561.7944,Good,539274.5109696,32.715738,-117.1610838,33.037329,-117.0523804
226,9609,SS-008409,79.68,CTE SOBRADO,CAM RAMILLETTE,CTE POTOSI,197.4842,28.0,Residential,AC Improved,5529.5576,Good,440595.14956800005,33.037875899999996,-117.04879150000001,32.715738,-117.1610838
227,9614,SS-008416,52.528,CUCA ST,ESTRADA CT,PENASQUITOS DR,1473.9766,40.0,Prime,AC Improved,58959.06400000001,Fair,3097001.713792,32.974548600000006,-117.0957084,32.978974699999995,-117.09250300000001
228,9615,SS-008417,55.372,CUCA ST,GERANA ST,ESTRADA CT,204.2669,40.0,Prime,AC Improved,8170.675999999998,Fair,452426.671472,32.9752186,-117.095396,32.974548600000006,-117.0957084
229,9616,SS-008418,69.994,CUCA ST,OLD SAYBROOK DR,GERANA ST,449.2273,40.0,Prime,AC Improved,17969.092,Fair,1257728.625448,32.9740615,-117.0959355,32.9752186,-117.095396
230,9617,SS-008420,52.788,CUCA ST,CAMTA DELUZ,BERNABE DR,691.0,40.0,Residential,AC Improved,27640.0,Fair,1459060.32,32.992806699999996,-117.1483135,32.9712597,-117.09689270000001
231,9618,SS-008421,69.53399999999999,CUCA ST,BERNABE DR,OLD SAYBROOK DR,1080.0,40.0,Residential,AC Improved,43200.0,Fair,3003868.8,32.9712597,-117.09689270000001,32.9740615,-117.0959355
232,9620,SS-008426,79.688,CULLEN ST,BUDD ST,CURRANT ST,246.0,36.0,Residential,AC Improved,8856.0,Good,705716.928,32.8043858,-117.1571554,32.8046276,-117.15650159999998
233,9621,SS-008427,83.87,CULLEN ST,ATLAS ST,BUDD ST,559.0,36.0,Residential,AC Improved,20124.0,Good,1687799.88,32.8033036,-117.1582554,32.8043858,-117.1571554
234,9622,SS-008428,72.98,CULLEN ST,ASHFORD ST,ATLAS ST,460.0,36.0,Residential,AC Improved,16560.0,Good,1208548.8,32.8031849,-117.1597318,32.8033036,-117.1582554
235,9624,SS-008433,61.276,CUMANA TR,PASEO DEL VERANO,CEDILLA PL,1399.9496,36.0,Residential,AC Improved,50398.1856,Fair,3088199.2208256,33.0329786,-117.0473548,33.0359122,-117.0495051
236,9625,SS-008434,76.41199999999998,CUMBERLAND ST,CALLE QUEBRADA,POTOMAC ST,380.5811,40.0,Collector,AC Improved,15223.244,Good,1163238.520528,32.678452,-117.056999,32.6794179,-117.05644299999999
237,9626,SS-008435,72.31,CUMBERLAND ST,CALLE TREPADORA,CALLE QUEBRADA,382.4047,40.0,Collector,AC Improved,15296.188,Good,1106067.35428,32.6776717,-117.05773980000001,32.678452,-117.056999
238,9627,SS-008436,75.888,CUMBERLAND ST,CALLE AGUADULCE,CALLE TREPADORA,214.0863,40.0,Residential,AC Improved,8563.452,Good,649863.2453760001,32.6774933,-117.05839350000001,32.6776717,-117.05773980000001
239,9628,SS-008437,49.0,CUMBERLAND ST,CALLE SERENA,CALLE AGUADULCE,299.6082,40.0,Residential,AC Improved,11984.328,Fair,587232.072,32.6772475,-117.0593284,32.6774933,-117.05839350000001
240,9629,SS-008438,81.07600000000002,CUMBERLAND ST,CALLE GAVIOTA,CALLE SERENA,413.9782,40.0,Residential,AC Improved,16559.128,Good,1342547.861728,32.676514000000005,-117.060318,32.6772475,-117.0593284
