,seg_id,oci,street,street_from,street_to,seg_length_ft,seg_width_ft,func_class,pvm_class,area_sq_ft,oci_desc,oci_wt,start_lat,start_long,end_lat,end_long
19520,SS-019382,83.24,MT HERBERT AV,MT GAYWAS DR,MT HAY DR,243.1882,38.0,Prime,AC Improved,9241.1516,Good,769233.459184,32.825268,-117.191963,32.825588,-117.191269
19521,SS-019383,91.764,MT HERBERT AV,MT FRISSELL DR,MT GAYWAS DR,249.6897,38.0,Prime,AC Improved,9488.2086,Good,870675.9739704,32.824974,-117.192703,32.825268,-117.191963
19522,SS-019384,86.204,MT HERBERT AV,MT ETNA DR,MT FRISSELL DR,446.9286,38.0,Prime,AC Improved,16983.2868,Good,1464027.2553072,32.824142,-117.19371,32.824974,-117.192703
19523,SS-019385,94.116,MT HERBERT AV,MT KING DR,MT ETNA DR,234.3032,38.0,Prime,AC Improved,8903.5216,Good,837963.8389056,32.823582,-117.194077,32.824142,-117.19371
19524,SS-019386,88.75399999999999,MT HERBERT AV,MT LAUDO DR,MT KING DR,731.5607,38.0,Prime,AC Improved,27799.3066,Good,2467299.6579764,32.821827,-117.195251,32.823582,-117.194077
19525,SS-019387,34.312,MT HERBERT AV,MT HENRY WY,MT LAUDO DR,498.3754,38.0,Residential,AC Improved,18938.2652,Poor,649809.7555424,32.8205454,-117.1956971,32.821827,-117.195251
19526,SS-019388,56.11,MT HERBERT AV,MT HUBBARD AV,MT FORDE AV,506.7189,38.0,Residential,AC Improved,19255.3182,Fair,1080415.904202,32.8181017,-117.1985331,32.818829,-117.197144
19527,SS-019389,51.574,MT HERBERT AV,MT FORDE AV,MT HENRY WY,839.1302,38.0,Residential,AC Improved,31886.9476,Fair,1644537.4355223998,32.818829,-117.197144,32.8205454,-117.1956971
19529,SS-019391,46.48,MT HORTON DR,MT PUTMAN AV,MT JEFFERS AV,277.2923,36.0,Residential,AC Improved,9982.5228,Fair,463987.65974399995,32.8186117,-117.1937802,32.8187624,-117.193092
19530,SS-019392,53.722,MT HORTON DR,MT HUKEE AV,MT PUTMAN AV,237.2111,36.0,Residential,AC Improved,8539.5996,Fair,458764.36971120007,32.8185829,-117.1945474,32.8186117,-117.1937802
