,report_id,date_time,police_beat,address_number_primary,address_pd_primary,address_road_primary,address_sfx_primary,address_pd_intersecting,address_name_intersecting,address_sfx_intersecting,violation_section,violation_type,charge_desc,injured,killed,hit_run_lvl,lat,lng
30,171719,2017-02-25 17:23:00,626,900,W,WASHINGTON,STREET, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,2,0,,32.7505093,-117.1561249
31,171591,2017-02-25 18:00:00,231,11000, ,POWAY,ROAD, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,MISDEMEANOR,32.9464145,-117.0901949
32,171546,2017-02-25 18:15:00,527,0,W,GRAPE,STREET, ,NORTH HARBOR,DRIVE,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7265558,-117.1338358
33,171738,2017-02-25 18:55:00,313,8100, ,AERO,DRIVE, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,0,0,MISDEMEANOR,32.8101026,-117.1508029
34,171661,2017-02-25 22:01:00,622,1500, ,VIA LAS CUMBRES, , , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,32.77216629999999,-117.1805419
35,171614,2017-02-25 22:20:00,122,1800, ,GRAND,AVENUE, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,,32.798767,-117.236597
36,171588,2017-02-25 23:08:00,821,6600, ,UNIVERSITY,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.7555165,-117.0546826
37,171634,2017-02-26 00:01:00,437,2900, ,ALTA VIEW,DRIVE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.6758738,-117.0401937
38,181738,2017-02-26 00:01:00,313,6400, ,CONVOY,COURT, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,MISDEMEANOR,32.8350409,-117.1690993
39,171627,2017-02-26 00:01:00,313,5000, ,CONVOY,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.8328214,-117.1532717
40,171686,2017-02-26 00:08:00,999,10600, ,LOUISIANA,DRIVE, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,0,0,,32.7521751,-117.1400523
41,171654,2017-02-26 00:50:00,512,200,S,31ST,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,FELONY,32.7074813,-117.1273791
42,171623,2017-02-26 01:50:00,323,6000, ,MADRA,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,,32.7862244,-117.0541047
43,171633,2017-02-26 02:00:00,441,3500, ,NATIONAL,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.6962732,-117.1188471
44,171624,2017-02-26 06:47:00,124,7500, ,GIRARD,AVENUE, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,0,0,,32.8405665,-117.2728514
45,171568,2017-02-26 07:30:00,441,400, ,CUYAMACA,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.7021358,-117.1070109
46,171713,2017-02-26 07:50:00,242,0, ,BLACK MTN,ROAD, ,GEMINI,AVENUE,21453A,VC,RED OR STOPVEHICLES STOP AT LIMIT LINE,1,0,,32.9390205,-117.1284305
47,171597,2017-02-26 10:42:00,442,1400,S,40TH,STREET, , , ,21201A,VC,OPERATING A BICYCLE ON A ROADWAY WITHOUT AN  EQUIPPED BRAKE,1,0,,32.6920492,-117.1081283
48,171668,2017-02-26 12:13:00,517,2500, ,BROADWAY, , , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,1,0,,32.715825,-117.1402802
49,171806,2017-02-26 12:25:00,242,8600, ,MIRA MESA,BOULEVARD, , , ,21453A,VC,RED OR STOPVEHICLES STOP AT LIMIT LINE,2,0,,32.9129171,-117.1384981
50,171662,2017-02-26 12:50:00,613,2000, ,FROUDE,STREET, , , ,21804,VC,ENTERING HWY FROM PRIVATE ROAD OR DRIVEWAY,2,0,,32.7443009,-117.2426646
51,171607,2017-02-26 13:15:00,115,3900, ,NOBEL,DRIVE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,3,0,,32.8683188,-117.221048
52,171801,2017-02-26 13:52:00,315,9200, ,FRIARS,ROAD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,3,0,,32.7832241,-117.1291674
53,171603,2017-02-26 14:20:00,621,7400, ,LINDA VISTA,ROAD, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,32.7947333,-117.1630525
54,171569,2017-02-26 15:13:00,447,2900, ,EUCLID,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.7369485,-117.0896861
55,172541,2017-02-26 15:30:00,622,5900, ,LINDA VISTA,ROAD, , , ,20002(A),VC,HIT AND RUN,0,0,MISDEMEANOR,32.7703296,-117.1883006
56,171641,2017-02-26 16:00:00,613,2100, ,CATALINA,BOULEVARD, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.7425404,-117.2358412
57,171600,2017-02-26 17:15:00,627,4000, ,05TH,AVENUE, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,,32.715738,-117.1610838
58,171595,2017-02-26 18:14:00,441,0, ,43RD,STREET, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,MISDEMEANOR,32.7478857,-117.1020656
59,172228,2017-02-26 18:36:00,313,7300, ,CLAIREMONT MESA,BOULEVARD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.8333842,-117.1612834
60,171842,2017-02-26 19:48:00,725,4900, ,OCEAN VIEW HILLS,PARKWAY, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,32.5827058,-117.0267292
61,171681,2017-02-26 21:08:00,437,7900, ,PARADISE VALLEY,ROAD, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,32.6971538,-117.0266095
62,171680,2017-02-26 21:14:00,451,0, ,EUCLID,AVENUE, ,FEDERAL,BOULEVARD,21801A,VC,LEFT TURN YIELD UNTIL SAFE OR U-TURN,3,0,,32.7329513,-117.0883228
63,171570,2017-02-26 21:48:00,437,2100,S,WOODMAN,STREET, , , ,21453A,VC,RED OR STOPVEHICLES STOP AT LIMIT LINE,0,0,MISDEMEANOR,32.7073229,-117.0548706
64,171590,2017-02-26 21:54:00,437,2700, ,ALTA VIEW,DRIVE, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,MISDEMEANOR,32.6768324,-117.0445179
65,171711,2017-02-27 00:01:00,624,4400, ,MISSISSIPPI,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7572811,-117.141306
66,171691,2017-02-27 02:45:00,524,1300, ,11TH,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,,32.7188824,-117.154742
67,171643,2017-02-27 04:30:00,937,16000, ,PASEO DEL SUR, , , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,33.0193216,-117.1325874
68,171630,2017-02-27 07:00:00,618,900, ,AMIFORD,DRIVE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.7235783,-117.2525706
69,171666,2017-02-27 08:38:00,234,15700, ,BERNARDO HEIGHTS,PARKWAY, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,,33.0014156,-117.0582215
70,171687,2017-02-27 09:15:00,936,13900, ,CAM DEL SUR, , , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,,32.965085,-117.1480887
71,171664,2017-02-27 10:18:00,627,600, ,UNIVERSITY,AVENUE, , , ,21801A,VC,LEFT TURN YIELD UNTIL SAFE OR U-TURN,1,0,,32.7485038,-117.1593715
72,171905,2017-02-27 10:39:00,122,10000, ,GRAND,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,,32.7989261,-117.2352598
73,172475,2017-02-27 11:03:00,624,2300, ,EL CAJON,BOULEVARD, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,,32.7553814,-117.1400765
74,171667,2017-02-27 11:30:00,241,8400, ,KEARNY VILLA,ROAD, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,2,0,,32.8645956,-117.1166294
75,171690,2017-02-27 12:16:00,324,8300, ,LAKE MURRAY,BOULEVARD, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,,32.7918383,-117.020378
76,171655,2017-02-27 14:52:00,431,900, ,MERLIN,DRIVE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,32.7147853,-117.0692513
77,171653,2017-02-27 16:30:00,725,4600, ,PALM,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.5842651,-117.0354877
78,171657,2017-02-27 16:47:00,512,0, ,22ND,STREET, ,IMPERIAL,AVENUE,21802A,VC,ENTRANCE FROM STOP THROUGH HIGHWAYYIELD UNTIL REASONABLY SAFE,1,0,,32.7117366,-117.1440032
79,171659,2017-02-27 16:47:00,512,0, ,22ND,STREET, ,IMPERIAL,AVENUE,21802A,VC,ENTRANCE FROM STOP THROUGH HIGHWAYYIELD UNTIL REASONABLY SAFE,1,0,,32.7117366,-117.1440032
80,172105,2017-02-27 17:16:00,447,5000, ,FEDERAL,BOULEVARD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7214215,-117.0876228
81,171626,2017-02-27 17:30:00,822,5500, ,EL CAJON,BOULEVARD, , , ,22102,VC,U-TURN IN BUSINESS DISTRICT,0,0,MISDEMEANOR,32.7583213,-117.0761025
82,171720,2017-02-27 17:56:00,615,1000, ,ROSECRANS,STREET, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,1,0,,32.7202473,-117.2328465
83,171807,2017-02-27 18:00:00,822,5600, ,EL CAJON,BOULEVARD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.758678,-117.074716
84,171674,2017-02-27 18:00:00,611,2800, ,WOMBLE,ROAD, , , ,21950A,VC,YIELD RIGHT OF WAY TO PEDESTRIANS,1,0,,32.7348486,-117.2162111
85,172083,2017-02-27 18:10:00,624,4200, ,PARK,BOULEVARD, , , ,21456B,VC,PEDESTRIAN TRAFFIC 'WAIT' SIGN,1,0,,32.7544185,-117.1464852
86,171709,2017-02-27 18:20:00,313,7700, ,BALBOA,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.8218241,-117.1586937
87,171635,2017-02-27 18:23:00,444,4200, ,MARKET,STREET, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,MISDEMEANOR,32.7114963,-117.1046852
88,171658,2017-02-27 18:35:00,521,1400, ,B,STREET, , , ,21658A,VC,LANED ROADWAYS - STRADDLING OR UNSAFE CHANGING,1,0,,32.7178507,-117.1516052
89,171608,2017-02-27 18:43:00,126,10600, ,NORTH TORREY PINES,ROAD, , , ,21950A,VC,YIELD RIGHT OF WAY TO PEDESTRIANS,1,0,,32.8953737,-117.2414655
90,171679,2017-02-27 19:52:00,999,0, ,PLAZA BONITA CENTERW, , , , ,21453A,VC,RED OR STOPVEHICLES STOP AT LIMIT LINE,1,0,,32.6545334,-117.0653717
91,172511,2017-02-27 21:00:00,821,6700, ,EL CAJON,BOULEVARD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7685881,-117.0536315
92,171665,2017-02-27 21:30:00,242,8200, ,GOLD COAST,DRIVE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,,32.9063459,-117.1469131
93,171672,2017-02-27 21:30:00,828,3600, ,EUCLID,AVENUE, , , ,21954A,VC,PEDESTRIANS OUTSIDE CROSSWALKS,1,0,,32.7439732,-117.0923539
94,171640,2017-02-27 23:16:00,618,1300, ,SUNSET CLIFFS,BOULEVARD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7346496,-117.2557661
95,171685,2017-02-27 23:56:00,529,1800, ,06TH,AVENUE, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,0,0,,32.712074,-117.158949
96,171712,2017-02-28 00:01:00,311,3300, ,STELLAR,DRIVE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.8034587,-117.1244239
97,171645,2017-02-28 00:01:00,115,8900, ,TOWNE CENTRE,DRIVE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.8674247,-117.2073906
98,171871,2017-02-28 02:26:00,611,4200, ,BARNETT,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,32.7455963,-117.1970666
99,171805,2017-02-28 04:16:00,511,2600, ,NATIONAL,AVENUE, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,0,0,,32.6960508,-117.1380778
