,seg_id,oci,street,street_from,street_to,seg_length_ft,seg_width_ft,func_class,pvm_class,area_sq_ft,oci_desc,oci_wt,start_lat,start_long,end_lat,end_long
3133,SS-001209,85.676,51ST ST,RODMAN AV,CHAUCER AV,260.069,28.0,Residential,AC Improved,7281.932,Good,623886.806032,32.7935903,-117.0832688,32.7943023,-117.083261
3134,SS-001210,72.296,51ST ST,ZION AV,RODMAN AV,257.0001,28.0,Residential,AC Improved,7196.0028,Good,520242.2184288,32.7928693,-117.083294,32.7935903,-117.0832688
3135,SS-001211,82.926,51ST ST,ORCUTT AV,ZION AV,681.8775,40.0,Residential,AC Improved,27275.1,Good,2261814.9426,32.791255,-117.0842041,32.7928693,-117.083294
3136,SS-001215,95.42200000000001,51ST ST,MONROE AV,MADISON AV,711.1187,36.0,Residential,AC Improved,25600.2732,Good,2442829.2692903997,32.7589842,-117.084661,32.7609366,-117.0842959
3137,SS-001216,56.64,51ST ST,TROJAN AV,EL CAJON BL,797.0904,36.0,Residential,PCC Jointed Concrete,28695.2544,Fair,1625299.209216,32.7548919,-117.0847238,32.7570993,-117.0846961
3138,SS-001217,30.764,51ST ST,ORANGE AV,TROJAN AV,668.0479,36.0,Residential,PCC Jointed Concrete,24049.7244,Poor,739865.7214415999,32.7530449,-117.0847133,32.7548919,-117.0847238
3139,SS-001218,82.432,51ST ST,POLK AV,ORANGE AV,643.0778,36.0,Residential,AC Improved,23150.8008,Good,1908366.8115456002,32.7512856,-117.0847987,32.7530449,-117.0847133
3140,SS-001219,94.92,51ST ST,OTTILIE PL,POLK AV,432.4309,36.0,Residential,AC Improved,15567.5124,Good,1477668.277008,32.7548919,-117.0847238,32.7512856,-117.0847987
3141,SS-001220,76.04,51ST ST,LEMONA AV,STERLING CT,731.5619,30.0,Residential,PCC Jointed Concrete,21946.857000000004,Good,1668839.0062799999,32.7437543,-117.0841517,32.7451534,-117.0849798
3142,SS-001221,43.17,51ST ST,KRENNING ST,CHOLLAS RD,705.6836,36.0,Residential,AC Improved,25404.6096,Fair,1096716.996432,32.736019,-117.0850401,32.7377561,-117.0852574
3143,SS-001222,80.918,51ST ST,PALM ST,KRENNING ST,287.3881,36.0,Collector,AC Improved,10345.9716,Good,837175.3299288,32.7353689,-117.0855525,32.736019,-117.0850401
